model,logisticregression__C,logisticregression__fit_intercept,logisticregression__max_iter,logisticregression__solver,score,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample,kneighborsclassifier__n_neighbors,kneighborsclassifier__p,kneighborsclassifier__weights,linearsvc__C,linearsvc__class_weight,linearsvc__dual,linearsvc__fit_intercept,linearsvc__max_iter,activation,alpha,hidden_layer_sizes,learning_rate_init,max_iter,solver,algorithm
extra_trees,,,,,0.12824692432800944,12.0,sqrt,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12824126622323545,2.0,,,,400.0,,0.1,,,0.7200000000000001,,,,,,,,,,,,,,,
extra_trees,,,,,0.12798420563808355,12.0,log2,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12745439172104406,4.0,log2,,,200.0,,0.1,,,0.8,,,,,,,,,,,,,,,
random_forest,,,,,0.12724076651155414,7.0,0.8,6.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.12714467503150081,,,,,,,,,,,,,,2.2,balanced,True,False,1651.0,,,,,,,
random_forest,,,,,0.12709033902699843,12.0,sqrt,6.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.12702068543068773,3.0,log2,,,441.0,,0.11000000000000001,,,1.0,,,,,,,,,,,,,,,
extra_trees,,,,,0.12670418167089026,12.0,0.8,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.126673105828944,12.0,log2,6.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12658304113659258,7.0,0.8,5.0,4.0,180.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.12645588141861774,14.0,log2,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.1264088839565652,8.0,0.8,6.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12625705757443684,7.0,0.8,2.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12625250487174966,8.0,0.8,3.0,4.0,400.0,,,,,,,,,,,,,,,,,,,,
xgboost,,,,,0.1261537350224723,5.0,,,,,0.6,0.05,1.0,2.0,0.935,,,,,,,,,,,,,,,
random_forest,,,,,0.12614116330687666,12.0,sqrt,5.0,4.0,180.0,,,,,,,,,,,,,,,,,,,,
random_forest,,,,,0.12597379566877592,14.0,log2,6.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
extra_trees,,,,,0.12581148547346338,12.0,0.8,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.1256253589108348,4.0,sqrt,,,400.0,,0.11000000000000001,,,0.7200000000000001,,,,,,,,,,,,,,,
