model.dropout,model.hidden_dim,model.num_layers,model.rgcn_bases,train.epochs,train.optimizer.lr,train.optimizer.weight_decay,val_auprc,trial
0.25,300,3,4,80,0.0005,0.05,0.17631018536617787,700
0.25,300,1,4,80,0.0013,0.05,0.17630715753207768,668
0.1,128,3,4,80,0.0013,0.01,0.17628467943121862,49
0.1,128,3,4,80,0.0011,0.01,0.17627650991129198,47
0.1,256,1,4,80,0.0005,0.01,0.17625719930433806,61
0.3,300,1,4,80,0.0005,0.05,0.17625079932899124,840
0.3,300,2,4,80,0.0007,0.01,0.17624070317660084,863
0.2,256,2,4,80,0.0009,0.05,0.1762358916953783,444
0.15,256,1,6,80,0.0009,0.01,0.17621888346157802,255
0.15,300,2,4,80,0.0009,0.01,0.17620310449112728,325
0.15,256,3,6,80,0.0007,0.01,0.1761857616545596,293
0.2,300,1,4,80,0.0011,0.01,0.17614787963855394,487
0.25,300,3,6,80,0.0005,0.05,0.1760861360748553,710
0.15,300,3,4,80,0.0011,0.01,0.17603217569958848,347
0.15,128,2,6,80,0.0007,0.01,0.17601797177702255,213
0.15,256,1,6,80,0.0007,0.01,0.17599550235221334,253
0.3,256,1,6,80,0.0005,0.05,0.17599533025451194,790
0.2,128,2,6,80,0.0013,0.05,0.1759611185079512,398
0.1,256,1,6,80,0.0007,0.01,0.175942994525996,73
0.15,300,1,4,80,0.0007,0.01,0.17590213500508478,303
0.3,256,2,6,80,0.0009,0.05,0.17589709644972845,814
0.15,256,2,4,80,0.0005,0.01,0.17586716560151705,261
0.15,256,1,4,80,0.0009,0.01,0.1758552409158862,245
0.3,128,2,4,80,0.0013,0.01,0.175826982526615,749
0.1,300,2,4,80,0.0013,0.01,0.1758206857937748,149
0.1,300,3,4,80,0.0013,0.01,0.1757905355864725,169
0.3,256,1,4,80,0.0013,0.01,0.17575307865377418,789
0.3,256,3,6,80,0.0009,0.01,0.17574870230261938,835
0.3,256,3,4,80,0.0013,0.01,0.1757222301471801,829
0.15,300,2,6,80,0.0005,0.01,0.17572215079577086,331
0.25,300,3,4,80,0.0007,0.01,0.17565030344551058,703
0.3,128,2,6,80,0.0007,0.05,0.17565000841831052,752
0.15,128,2,6,80,0.0009,0.01,0.17564687175493185,215
0.15,128,1,4,80,0.0011,0.05,0.1756322343958086,186
0.2,256,3,6,80,0.0005,0.05,0.17562920036450097,470
0.15,300,3,4,80,0.0009,0.01,0.17562507100624997,345
0.25,300,2,6,80,0.0007,0.01,0.175610484239667,693
0.15,128,2,6,80,0.0013,0.05,0.1756059277428143,218
0.15,128,2,4,80,0.0013,0.01,0.17560278606455915,209
0.3,300,1,6,80,0.0005,0.01,0.17559602686150505,851
0.3,300,1,4,80,0.0007,0.05,0.17558441568387584,842
0.15,256,2,4,80,0.0007,0.01,0.1755814019951385,263
